"LANGUAGE","Angol"
"LBR_NAME","Életciklus-kiegyensúlyozás újratöltve"
"LBR_DESC","Növeli és véletlenszerűvé teszi a polgárok élettartamát, véletlenszerűvé teszi a bevándorlók életkorát és iskolai végzettségét, és megváltoztatja a polgárok munkába való utazásának módját"
"LBR_SPN","Élettartam"
"LBR_SPN_WRN","Figyelmeztetés"
"LBR_SPN_BAL","A beállítások játék közbeni módosítása átmenetileg megzavarhatja a város egyensúlyát."
"LBR_SPN_BAK","A változtatás előtt ERŐSEN ajánlott biztonsági másolat mentése."
"LBR_CAL","Életciklus számítási modell"
"LBR_CAL_SUN","A Sunset Harbor DLC szerinti élettartam (alapértelmezett)"
"LBR_CAL_LEG","Örökölt élettartamok (eredeti mod szerinti) – rövidebb élettartam, kevesebb idős"
"LBR_CAL_VAN","Vanilla Sunset Harbor szerinti élettartam – kevésbé változó élettartam, valamivel több időskorú"
"LBR_SHO","(csak a Sunset Harbor DLC élettartamának használata esetén)"
"LBR_RET","Nyugdíjkorhatári lehetőségek"
"LBR_RET_USE","Használjon egyéni nyugdíjkorhatárt"
"LBR_RET_CUS","Egyedi nyugdíjkorhatár"
"LBR_RET_NT1","A nyugdíjkorhatár csökkentése nem változtat azon állampolgárok státuszán, akik a korábbi beállítások szerint már nyugdíjba vonultak."
"LBR_RET_NT2","A nyugdíjkorhatár emelése nem változtat azon állampolgárok helyzetén, akik korábban már nyugdíjba vonultak."
"LBR_CHI","Gyermekkori lehetőségek"
"LBR_CHI_CUS","Használjon egyéni gyermekkorokat"
"LBR_CHI_SCH","Életkor azokban az években, amikor a gyerekek elkezdik az iskolát"
"LBR_CHI_TEE","Életkor azokban az években, amikor a gyerekek elkezdik a középiskolát"
"LBR_CHI_YOU","Életkor azokban az években, amikor a gyerekek elkezdik az egyetemet/főiskolát"
"LBR_HEA","Egészség"
"LBR_HEA_ILL","Véletlenszerű megbetegedések %-is esélye az élet évtizedében"
"LBR_HEA_ILD","Nem befolyásolja a meghatározott okokból eredő betegségeket, pl. szennyezés vagy zaj"
"LBR_HEA_AGE","Életkor"
"LBR_DTH","Halálozás"
