"LANGUAGE","Bahasa Indonesia"
"LBR_NAME","Lifecycle Rebalance Revisited"
"LBR_DESC","Menambahkan dan mengacak masa hidup warga, mengacak umur dan tingkat kependidikan para imigran, dan mengubah cara warga bepergian ke dan dari tempat kerja"
"LBR_SPN","Jangka hidup"
"LBR_SPN_WRN","Peringatan"
"LBR_SPN_BAL","Mengubah pengaturan saat di dalam game dapat mengganggu keseimbangan kota untuk sementara."
"LBR_SPN_BAK","Menyimpan backup sebelum mengubahkannya SANGAT direkomendasikan."
"LBR_CAL","Model perhitungan siklus hidup"
"LBR_CAL_SUN","Jangka hidup mod Sunset Harbor (setelan standar)"
"LBR_CAL_LEG","Jangka hidup mod legacy (mod WG asli) - jangka hidup lebih pendek, lebih sedikit lansia"
"LBR_CAL_VAN","Jangka hidup Vanilla Sunset Harbor - Jangka hidup yang kurang bervariasi, sedikit lebih banyak lansia"
"LBR_SHO","(hanya jika menggunakan jangka hidup mod Sunset Harbor)"
"LBR_RET","Opsi umur pensiun"
"LBR_RET_USE","Gunakan usia pensiun khusus"
"LBR_RET_CUS","Usia pensiun khusus"
"LBR_RET_NT1","Mengurangi usia pensiun tidak akan mengubah status warga yang telah pensiun karena pengaturan sebelumnya."
"LBR_RET_NT2","Menambah usia pensiun tidak akan mengubah penampilan warga yang telah pensiun karena pengaturan sebelumnya."
"LBR_CHI","Opsi usia anak-anak"
"LBR_CHI_CUS","Gunakan usia anak-anak khusus"
"LBR_CHI_SCH","Usia tahun saat anak-anak mulai bersekolah"
"LBR_CHI_TEE","Usia tahun saat anak-anak mulai sekolah tinggi"
"LBR_CHI_YOU","Usia tahun saat anak-anak mulai kuliah/universitas"
"LBR_HEA","Kesehatan"
"LBR_HEA_ILL","Peluang persentase penyakit acak per dekade kehidupan"
"LBR_HEA_ILD","Tidak akan memengaruhi penyakit dengan sebab spesifik, seperti penyakit dari polusi atau kebisingan"
"LBR_HEA_AGE","Usia"
"LBR_DTH","Kematian"
"LBR_DTH_TRN","Persentase mayat yang membutuhkan transportasi"
"LBR_DTH_TRD","(Standar game 67%, standar mod 50%)"
"LBR_IMM","Imigran"
"LBR_IMM_VAR","Gunakan variasi 25% untuk tingkat pendidikan imigran"
"LBR_IMM_INC","Tambahkan tingkat pendidikan rata-rata imigran"
"LBR_IMM_DEC","Kurangkan tingkat pendidikan rata-rata imigran"
"LBR_SET","Pengaturan"
"LBR_SET_LGD","Catatkan kematian ke ""Lifecycle death log.txt"""
"LBR_SET_LGI","Catatkan imigran ke ""Lifecycle immgiration log.txt"""
"LBR_SET_LGT","Catatkan pilihan transportasi khusus ke ""Lifecycle transport log.txt"" AWAS - AKAN MELABATKAN GAME!"
"LBR_SET_LGS","Catatkan peristiwa penyakit ke ""Lifecycle sickness log.txt"""
"LBR_SPD","Kecepatan"
"LBR_SPD_FAC","Faktor untuk melambatkan penambahan umur warga, dibandingkan dengan game tanpa mod ini"
"LBR_SPD_FN1","1 adalah kecepatan game biasa (35 minggu game sama dengan usia 10 tahun), 2 adalah 2 kali lebih lambat (70 minggu game sama dengan usia 10 tahun), 3 adalah 3 kali lebih lambat, dan seterusnya. Nilai 15 berarti warga akan menambah usia 1 tahun untuk setiap tahun di dalam game."
"LBR_SPD_FN2","Tidak mengubah siklus hidup atau usia - hanya kecepatan penambahan usia warga dibandingkan dengan kecepatan game."
"LBR_SPD_FN3","(Standar game 1, standar mod 3)"
"LBR_TRN","Transportasi"
"LBR_TRN_CUS","Gunakan peluang mode transportasi khusus"
"LBR_TRN_WEA","Tingkat kekayaan"
"LBR_TRN_CAR","Peluang mobil digunakan (%)"
"LBR_TRN_BIK","Peluang sepeda digunakan (%)"
"LBR_TRN_TAX","Peluang taksi digunakan (%)"
"LBR_TRN_RLO","Perumahan kepadatan rendah"
"LBR_TRN_RHI","Perumahan kepadatan tinggi"
"LBR_TRN_RW2","Perumahan wall-to-wall"
"LBR_TRN_ERL","Perumahan eco kepadatan rendah"
"LBR_TRN_ERH","Perumahan eco kepadatan tinggi"
"LBR_TRN_CHL","Anak"
"LBR_TRN_TEN","Remaja"
"LBR_TRN_YAD","Dewasa muda"
"LBR_TRN_ADL","Dewasa"
"LBR_TRN_SEN","Lansia"
"LBR_DEF","standar"
"LBR_RTD","Reset kembali ke standar"
"LBR_RTS","Kembalikan ke yang tersimpan"
"LBR_SAA","Simpan dan terapkan"
"LBR_ZRO","Set semua ke nol"
"LBR_150_TIT","Lifecycle Rebalance Visited telah diperbarui ke versi 1.5"
"LBR_150_NT1","Pilihan moda transportasi sekarang dapat diedit via panel pengaturan, dan perumahan biasa dan eco dapat memiliki pilihan moda yang berbeda."
"LBR_150_NT2","Tingkat kependidikan orang yang pindah ke kota anda dapat diubah."
"LBR_151_NT1","Ubah layout panel pengaturan untuk terjemahan"
"LBR_152_NT1","Orang tua tunggal dengan anak di bawah umur akan terhindar dari kematian dini, untuk mencegah adanya rumah tangga anak yatim"
"LBR_152_NT2","Peningkatan pengecekan dan notifikasi konflik mod"
"LBR_152_NT3","Peningkatan notifikasi pembaruan"
"LBR_154_NT1","Ubah perlakuan kematian orang tua tunggal: singkirkan anak yatim piatu ketika kedua orang tua meninggal (alih-alih menyelamatkan orang tua dari kematian)"
"LBR_154_NT2","Tambahkan kode untuk memeriksa dan menghapus penghuni gedung dengan data yang tidak valid"
"LBR_160_NT1","FITUR BARU UTAMA: penuaan dan kemajuan kehidupan awal yang realistis, dari masa anak-anak hingga dewasa muda (opsional, dapat disesuaikan)"
"LBR_160_NT2","Penuaan kehidupan awal yang baru dicocokkan dengan nilai dan tahapan dunia nyata dan mencakup tahap kehidupan pra-sekolah (anak kecil)"
"LBR_160_NT3","Opsi ini dapat diaktifkan/dinonaktifkan dan disesuaikan di panel opsi mod"
"LBR_160_NT4","CATATAN: opsi ini awalnya diaktifkan secara bawaan"
